"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
4.58704016536683,10.5770360079232,20.3101583616932,1.02222321537259e-82,5.9227613098688e-79,177.532587805614,"IFI27"
1.16338824059994,10.4167536065244,20.2600834456452,2.34039686100959e-82,6.78012970634479e-79,176.710348584856,"MX2"
1.63435675050433,12.5017121390492,19.1357742985208,1.98281057079426e-74,3.82946814906064e-71,158.59153155568,"IFITM3"
2.19089045793421,10.4012874800854,18.5058799360626,4.06665759611352e-70,5.89055352797043e-67,148.738428964368,"HERC5"
1.76529668790456,11.4166185122203,16.4666862676595,7.5681897931315e-57,8.77001833228079e-54,118.426057787234,"MX1"
2.28996388758546,10.7069474629756,15.9617133864759,9.8225961097125e-54,9.48535364327904e-51,111.31734134817,"ISG15"
1.25325130693965,7.1427873515005,15.7814670872644,1.21908773328104e-52,1.00905633237577e-49,108.820089919633,"FBXO6"
1.15926136418676,8.97935692209902,15.6650277740918,6.13326776812501e-52,4.04123304953915e-49,107.2182509745,"SCO2"
0.464380703167753,13.5330361186646,15.6559943277737,6.94966554928728e-52,4.04123304953915e-49,107.094354767101,"IFITM2"
1.03228508017704,10.0446739738927,15.6557326967838,6.97485855978452e-52,4.04123304953915e-49,107.09076723357,"TRIM22"
-2.84878369697193,2.33014709988276,-16.6389850010949,1.00914968844051e-51,5.31546663165845e-49,106.032160589724,"NA..638"
0.729613538070816,11.4358089714494,15.4860142618316,7.22414050642727e-51,3.48805584118663e-48,104.773166187085,"SHISA5"
1.10293171626142,9.49337205129687,15.1242343075653,9.88299791425702e-49,4.40477614732347e-46,99.8974901702197,"PARP12"
1.80290618757872,9.90763160636061,15.0180373062048,4.11711962739912e-48,1.70389936579646e-45,98.4831667798161,"LY6E"
0.535007140937972,9.20819206788861,14.8841743259933,2.46012153453861e-47,9.50262944741112e-45,96.7114164203315,"LYRM1"
1.22682341137915,10.2093730947746,14.8321432593526,4.91217130068203e-47,1.77882003225948e-44,96.0260912335927,"MT2A"
-1.02152729568097,9.74693954886979,-14.7531416525709,1.39864034252149e-46,4.60475760032726e-44,94.9891089496759,"KLRB1"
1.30267578246608,6.94867413676479,14.751435265587,1.43054257517934e-46,4.60475760032726e-44,94.966758546725,"DHX58"
1.89226958766974,6.79250327641765,14.7382684211324,1.70235265574101e-46,5.05406398863567e-44,94.7943661460696,"CMPK2"
-1.16477444495567,5.63625046524553,-14.736412847836,1.74458542928397e-46,5.05406398863567e-44,94.7700809688904,"ID3"
1.53431761181687,8.41481431572886,14.6524209650294,5.27644844494369e-46,1.45579725190494e-43,93.6733313026332,"DDX60"
-0.779531108212425,8.91286419772413,-14.2198850806091,1.45726746103864e-43,3.8379125769354e-41,88.1037949938405,"FBL"
0.420937802673838,4.89780965074405,13.8845970275998,1.03790835601438e-41,2.614626528151e-39,83.8780642270641,"DVL1"
0.663804432205435,11.1034039704265,13.8283124781743,2.10723935135786e-41,5.08722700073644e-39,83.1766359759984,"LY96"
-1.34400233198683,6.157458137389,-14.5107815208033,2.53252333383481e-41,5.86937607849556e-39,82.6243057984426,"NA..291"
-0.482256998270763,9.6094999358126,-13.6811026638031,1.32859589938542e-40,2.90745245670357e-38,81.3529641261262,"EIF3D"
1.05089120477426,9.13053135875934,13.6795302109622,1.35487083760781e-40,2.90745245670357e-38,81.3335694495845,"IFI35"
-0.527816621757541,12.2050850925138,-13.5753089785406,4.94146021897641e-40,1.0225293038839e-37,80.0521354111114,"RPS3"
0.718874674712221,7.55386930719143,13.5627135758465,5.77478237492274e-40,1.15376169242422e-37,79.8978100277555,"CSRNP1"
0.330550830561978,3.90804806235283,13.1282239051057,1.1618008004697e-37,2.24382461264049e-35,74.645987662433,"NME9"
-1.33901677676268,7.79548611738474,-13.5934091890079,4.75137910134451e-37,8.88048081070649e-35,73.0044356227614,"NA..243"
0.799392890576708,8.16786010849338,12.9768776686165,7.13231402495675e-37,1.29139460814373e-34,72.8496600798682,"TOR1B"
0.798626582618907,8.06564016431637,12.7932129420166,6.30344650778913e-36,1.10673239594334e-33,70.6929312904886,"TDRD7"
0.497796584274726,9.70925830327547,12.7806914973736,7.30622436387787e-36,1.24506658718554e-33,70.546825387894,"MYD88"
-0.532684979420856,3.93539508583987,-12.7291516979324,1.33984526018217e-35,2.21801812499872e-33,69.9466902997663,"PRPF39"
0.700625140221712,8.39697727481345,12.6392647735703,3.83944939266836e-35,6.17938049475568e-33,68.9048783817628,"FAM8A1"
-1.31694611994903,3.54581120696213,-12.5165214884453,1.60062631425881e-34,2.50649428778799e-32,67.4922288947866,"KDM5D"
-0.723394217879301,5.78705020447232,-12.5081509671046,1.76356045234087e-34,2.68896559496394e-32,67.3963135468712,"SCRN1"
0.771981746924088,8.96063575212685,12.4816746044188,2.39553484939217e-34,3.46993222934455e-32,67.093283175225,"NFIL3"
-0.873174990466124,5.67430902268632,-13.0110784477002,2.05200580352624e-34,3.04854400657206e-32,67.0723263578714,"NA..93"
0.499369711433987,10.5620381240479,12.3414880893111,1.2016488918266e-33,1.69813504371788e-31,65.4978026880645,"IRF9"
0.505419819403542,10.0540461809202,12.3291665236525,1.38363777768621e-33,1.90876125807474e-31,65.3582949089119,"DYNLT1"
0.534394234161214,11.7907224091435,12.3216735900416,1.50744496994414e-33,2.03119445485031e-31,65.2735155295631,"SELL"
-0.370352205234434,9.31434377711981,-12.2887536312098,2.19552930086053e-33,2.8911129020877e-31,64.9015552343154,"RPN1"
1.80663197517077,5.55809236056997,12.2793386691314,2.44441444029533e-33,3.14731939268248e-31,64.7953306784446,"USP18"
